n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
2.486519851985198592e+18,7.226794441113089817e+01,8.063170188717658997e+10,1.111104964896527082e+08,5.732498289246987104e+08,7.369738275863566912e+01,8.932468292012561035e+10,3.883069233102818089e+03,9.215051644248752564e+04
2.486819781978198016e+18,7.226502724341948181e+01,8.064629131124304199e+10,1.111301145929793566e+08,5.733535522079044580e+08,7.369441982080722653e+01,8.932468292012561035e+10,3.882843130469402240e+03,9.216719006999209523e+04
2.487119711971196928e+18,7.226211054168771852e+01,8.066088161513560486e+10,1.111497338315112740e+08,5.734572817462199926e+08,7.369145735941116016e+01,8.932468292012561035e+10,3.882617067234731167e+03,9.218386470301213558e+04
2.487419641964196352e+18,7.225919430580583480e+01,8.067547279880120850e+10,1.111693542051721066e+08,5.735610175392683744e+08,7.368849537431346164e+01,8.932468292012561035e+10,3.882391043387397076e+03,9.220054034148709616e+04
2.487719571957195776e+18,7.225627853564397185e+01,8.069006486218675232e+10,1.111889757139015049e+08,5.736647595866723061e+08,7.368553386538007999e+01,8.932468292012561035e+10,3.882165058915988993e+03,9.221721698535628093e+04
2.488019501950195200e+18,7.225336323107251246e+01,8.070465780523922729e+10,1.112085983576287627e+08,5.737685078880547285e+08,7.368257283247714895e+01,8.932468292012561035e+10,3.881939113809114133e+03,9.223389463455916848e+04
2.488319431943194624e+18,7.225044839196166890e+01,8.071925162790571594e+10,1.112282221362885684e+08,5.738722624430387020e+08,7.367961227547070280e+01,8.932468292012561035e+10,3.881713208055369705e+03,9.225057328903512098e+04
2.488619361936193536e+18,7.224753401818190923e+01,8.073384633013307190e+10,1.112478470498128086e+08,5.739760232512470484e+08,7.367665219422696055e+01,8.932468292012561035e+10,3.881487341643367017e+03,9.226725294872354425e+04
2.488919291929192960e+18,7.224462010960360203e+01,8.074844191186836243e+10,1.112674730981373936e+08,5.740797903123034239e+08,7.367369258861211279e+01,8.932468292012561035e+10,3.881261514561716922e+03,9.228393361356385867e+04
2.489219221922192384e+18,7.224170666609724378e+01,8.076303837305853271e+10,1.112871002811929137e+08,5.741835636258308887e+08,7.367073345849246380e+01,8.932468292012561035e+10,3.881035726799035729e+03,9.230061528349547007e+04
2.489519151915191808e+18,7.223879368753335939e+01,8.077763571365066528e+10,1.113067285989091992e+08,5.742873431914526224e+08,7.366777480373428943e+01,8.932468292012561035e+10,3.880809978343949297e+03,9.231729795845794433e+04
2.489819081908190720e+18,7.223588117378254481e+01,8.079223393359175110e+10,1.113263580512252897e+08,5.743911290087919235e+08,7.366481662420402188e+01,8.932468292012561035e+10,3.880584269185080757e+03,9.233398163839058543e+04
2.490119011901190144e+18,7.223296912471541020e+01,8.080683303282887268e+10,1.113459886380717456e+08,5.744949210774725676e+08,7.366185891976806488e+01,8.932468292012561035e+10,3.880358599311059152e+03,9.235066632323297381e+04
2.490418941894189568e+18,7.223005754020265101e+01,8.082143301130891418e+10,1.113656203593801558e+08,5.745987193971178532e+08,7.365890169029292167e+01,8.932468292012561035e+10,3.880132968710523983e+03,9.236735201292450074e+04
2.490718871887188992e+18,7.222714642011500530e+01,8.083603386897915649e+10,1.113852532150860727e+08,5.747025239673515558e+08,7.365594493564513812e+01,8.932468292012561035e+10,3.879907377372114752e+03,9.238403870740474667e+04
2.491018801880187904e+18,7.222423576432325376e+01,8.085063560578646851e+10,1.114048872051218450e+08,5.748063347877967358e+08,7.365298865569127429e+01,8.932468292012561035e+10,3.879681825284476872e+03,9.240072640661313199e+04
2.491318731873187328e+18,7.222132557269821973e+01,8.086523822167807007e+10,1.114245223294178545e+08,5.749101518580777645e+08,7.365003285029798974e+01,8.932468292012561035e+10,3.879456312436255303e+03,9.241741511048923712e+04
2.491618661866186752e+18,7.221841584511079759e+01,8.087984171660092163e+10,1.114441585879128277e+08,5.750139751778181791e+08,7.364707751933202928e+01,8.932468292012561035e+10,3.879230838816106370e+03,9.243410481897251157e+04
2.491918591859186176e+18,7.221550658143196699e+01,8.089444609050219727e+10,1.114637959805342257e+08,5.751178047466418743e+08,7.364412266266012352e+01,8.932468292012561035e+10,3.879005404412693679e+03,9.245079553200253577e+04
2.492218521852185088e+18,7.221259778153267916e+01,8.090905134332894897e+10,1.114834345072187930e+08,5.752216405641723871e+08,7.364116828014904570e+01,8.932468292012561035e+10,3.878780009214674465e+03,9.246748724951886106e+04
2.492518451845184512e+18,7.220968944528397060e+01,8.092365747502833557e+10,1.115030741678987592e+08,5.753254826300343275e+08,7.363821437166572537e+01,8.932468292012561035e+10,3.878554653210715514e+03,9.248417997146095149e+04
2.492818381838183936e+18,7.220678157255692042e+01,8.093826448554747009e+10,1.115227149625064731e+08,5.754293309438513517e+08,7.363526093707699260e+01,8.932468292012561035e+10,3.878329336389494983e+03,9.250087369776854757e+04
2.493118311831183360e+18,7.220387416322273566e+01,8.095287237483341980e+10,1.115423568909757584e+08,5.755331855052477121e+08,7.363230797624989066e+01,8.932468292012561035e+10,3.878104058739683751e+03,9.251756842838108423e+04
2.493418241824182272e+18,7.220096721715256649e+01,8.096748114283337402e+10,1.115619999532392770e+08,5.756370463138474226e+08,7.362935548905143435e+01,8.932468292012561035e+10,3.877878820249965429e+03,9.253426416323817102e+04
2.493718171817181696e+18,7.219806073421764836e+01,8.098209078949450684e+10,1.115816441492314041e+08,5.757409133692749739e+08,7.362640347534865271e+01,8.932468292012561035e+10,3.877653620909028632e+03,9.255096090227940294e+04
2.494018101810181120e+18,7.219515471428931619e+01,8.099670131476396179e+10,1.116012894788825363e+08,5.758447866711546183e+08,7.362345193500873108e+01,8.932468292012561035e+10,3.877428460705562429e+03,9.256765864544452052e+04
2.494318031803180544e+18,7.219224915723887648e+01,8.101131271858880615e+10,1.116209359421302676e+08,5.759486662191106081e+08,7.362050086789879799e+01,8.932468292012561035e+10,3.877203339628255890e+03,9.258435739267290046e+04
2.494617961796179456e+18,7.218934406293777784e+01,8.102592500091630554e+10,1.116405835389063209e+08,5.760525520127674341e+08,7.361755027388613826e+01,8.932468292012561035e+10,3.876978257665816272e+03,9.260105714390437061e+04
