n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility,Alloy Disorder Barrier Penetration,Alloy Disorder Only Channel
1.000000000000000000e+16,1.580411640321449909e+02,2.056448936893773451e+07,7.185169214507701690e+04,1.462029169266754761e+05,6.128860060378574417e+02,2.115065017844427530e+03,1.221448670310508925e+06,2.380149232515942117e+02,4.175602605362071200e+16,6.128860060378664230e+02
1.099099099099099200e+16,1.713080615253424526e+02,2.369589997648865357e+07,8.019602019770668994e+04,1.684656318769726786e+05,5.938828098299402427e+02,2.049543275249576709e+03,9.601944056257476332e+05,2.742581015797298392e+02,4.175602605362071200e+16,5.938828098299486555e+02
1.198198198198198200e+16,1.832702448716013635e+02,2.697186165457976609e+07,8.870451149290395551e+04,1.917560304122448433e+05,5.770367651372193905e+02,1.990949071356314562e+03,7.725288833130741259e+05,3.121743247057843291e+02,4.175602605362071200e+16,5.770367651372273485e+02
1.297297297297297200e+16,1.939715489735467600e+02,3.038625653930388764e+07,9.737055139149163733e+04,2.160306176743145916e+05,5.619528362463569238e+02,1.938037421305730049e+03,6.337507837013900280e+05,3.516927840197208752e+02,4.175602605362071200e+16,5.619528362463644271e+02
1.396396396396396400e+16,2.034804151672733781e+02,3.393368384046562761e+07,1.061882938604002993e+05,2.412509968293921556e+05,5.483318408395670076e+02,1.889864665180516795e+03,5.285771251256418182e+05,3.927509703757596071e+02,4.175602605362071200e+16,5.483318408395741699e+02
1.495495495495495600e+16,2.118795896059611721e+02,3.760932977153129131e+07,1.151525224764469313e+05,2.673829443370790104e+05,5.359422586357725322e+02,1.845699803455259143e+03,4.471813900849661441e+05,4.352931686519826826e+02,4.175602605362071200e+16,5.359422586357793534e+02
1.594594594594594600e+16,2.192586009125222404e+02,4.140886830526582897e+07,1.242585443225350464e+05,2.943957043741151574e+05,5.246015982856365554e+02,1.804965922939827578e+03,3.830346696234364063e+05,4.792693090887252083e+02,4.175602605362071200e+16,5.246015982856430355e+02
1.693693693693693600e+16,2.257084762282521524e+02,4.532838395062182844e+07,1.335021073896648595e+05,3.222614398178728297e+05,5.141637034844737855e+02,1.767200308877132329e+03,3.316744109496632009e+05,5.246340735025676167e+02,4.175602605362071200e+16,5.141637034844801519e+02
1.792792792792792800e+16,2.313181900438025025e+02,4.936431063869261742e+07,1.428793351799569209e+05,3.509547977569931536e+05,5.045098766557348995e+02,1.732026561732967821e+03,2.899741347384375986e+05,5.713461879478313676e+02,4.175602605362071200e+16,5.045098766557409249e+02
1.891891891891892000e+16,2.361724102992686483e+02,5.351338263753310591e+07,1.523866741582534451e+05,3.804525605210683425e+05,4.955425294099963480e+02,1.699134656061939495e+03,2.556952790474980720e+05,6.193678546010777382e+02,4.175602605362071200e+16,4.955425294100022029e+02
1.990990990990991200e+16,2.403501868250726830e+02,5.777259461216178536e+07,1.620208509754292318e+05,4.107333617278480669e+05,4.871805487948105906e+02,1.668266390290980098e+03,2.272038316737274872e+05,6.686642894926134204e+02,4.175602605362071200e+16,4.871805487948162181e+02
2.090090090090090000e+16,2.439243043805425941e+02,6.213916874868001044e+07,1.717788372422865068e+05,4.417774525526777725e+05,4.793558552396884807e+02,1.639204579502701108e+03,2.032863551581221400e+05,7.192033419986114495e+02,4.175602605362071200e+16,4.793558552396939376e+02
2.189189189189189200e+16,2.469610897430834484e+02,6.661052741265011579e+07,1.816578202207894938e+05,4.735665073436626117e+05,4.720108049566088084e+02,1.611764899838303563e+03,1.830276925298638816e+05,7.709551783871542057e+02,4.175602605362071200e+16,4.720108049566140949e+02
2.288288288288288400e+16,2.495205174038122209e+02,7.118427019839245081e+07,1.916551782116974937e+05,5.060834604540042928e+05,4.650962015708093418e+02,1.585789645471721542e+03,1.657279367909253342e+05,8.238920161850981003e+02,4.175602605362071200e+16,4.650962015708145145e+02
2.387387387387387200e+16,2.516565017768604662e+02,7.585815450199840963e+07,2.017684597122976556e+05,5.393123681261372985e+05,4.585697544357270203e+02,1.561142887619140993e+03,1.508449722713156370e+05,8.779878993286854438e+02,4.175602605362071200e+16,4.585697544357320226e+02
2.486486486486486400e+16,2.534172969002007108e+02,8.063007895145885646e+07,2.119953656320244772e+05,5.732382906884867698e+05,4.523948692762149904e+02,1.537706676508011924e+03,1.379540182582612615e+05,9.332185063826260603e+02,4.175602605362071200e+16,4.523948692762198789e+02
2.585585585585585600e+16,2.548459492277511629e+02,8.549806917526946962e+07,2.223337340116424020e+05,6.078471913775883149e+05,4.465396893887215128e+02,1.515378029607092230e+03,1.267186913037754857e+05,9.895609858248785713e+02,4.175602605362071200e+16,4.465396893887262877e+02
2.684684684684684800e+16,2.559807670748452892e+02,9.046026550151291490e+07,2.327815268099444802e+05,6.431258488849058049e+05,4.409763280547763884e+02,1.494066519863221401e+03,1.168700059841204493e+05,1.046993813674918329e+03,4.175602605362071200e+16,4.409763280547810496e+02
2.783783783783784000e+16,2.568557831472512589e+02,9.551491226319979131e+07,2.433368184111340961e+05,6.790617813233180204e+05,4.356802485132129164e+02,1.473692326955630506e+03,1.081909332070529344e+05,1.105496669712960511e+03,4.175602605362071200e+16,4.356802485132174070e+02
2.882882882882882800e+16,2.575011956431362137e+02,1.006603484498237222e+08,2.539977855749130249e+05,7.156431797644963954e+05,4.306297589758943900e+02,1.454184649548704556e+03,1.005049057921475469e+05,1.165050329280367805e+03,4.175602605362071200e+16,4.306297589758988238e+02
2.981981981981982000e+16,2.579437796803987908e+02,1.058949994947677404e+08,2.647626986041408381e+05,7.528588498515976826e+05,4.258055981894503361e+02,1.435480401688985012e+03,9.366716519908524060e+04,1.225636568226479085e+03,4.175602605362071200e+16,4.258055981894547131e+02
3.081081081081081200e+16,2.582072650437294783e+02,1.112173700270362198e+08,2.756299135465204599e+05,7.906981602678146446e+05,4.211905928895757256e+02,1.417523134831186553e+03,8.755817860486423888e+04,1.287238079016623260e+03,4.175602605362071200e+16,4.211905928895799889e+02
3.180180180180180000e+16,2.583126790471425238e+02,1.166260374464232922e+08,2.865978652795269736e+05,8.291509970591380261e+05,4.167693728040745214e+02,1.400262140499673933e+03,8.207858201066017500e+04,1.349838396370640339e+03,4.175602605362071200e+16,4.167693728040786709e+02
3.279279279279279200e+16,2.582786550961547505e+02,1.221196462056024820e+08,2.976650613538390025e+05,8.682077229829591233e+05,4.125281320735059580e+02,1.383651698670330688e+03,7.714526021311270597e+04,1.413421831083362349e+03,4.175602605362071200e+16,4.125281320735100508e+02
3.378378378378378400e+16,2.581217086198745392e+02,1.276969027021594942e+08,3.088300764913882595e+05,9.078591411930581089e+05,4.084544283774742439e+02,1.367650444546124845e+03,7.268828218050333089e+04,1.477973410904624416e+03,4.175602605362071200e+16,4.084544283774782798e+02
3.477477477477477600e+16,2.578564826500208937e+02,1.333565706993752569e+08,3.200915476510939770e+05,9.480964626837321557e+05,4.045370128934887362e+02,1.352220832167206254e+03,6.864848606968282547e+04,1.543478827539065378e+03,4.175602605362071200e+16,4.045370128934926583e+02
3.576576576576576800e+16,2.574959656096739877e+02,1.390974672073961794e+08,3.314481695889837574e+05,9.889112770070402185e+05,4.007656856254518516e+02,1.337328677718855715e+03,6.497556193492819148e+04,1.609924388974493695e+03,4.175602605362071200e+16,4.007656856254557169e+02
3.675675675675675200e+16,2.570516839506603901e+02,1.449184587669338882e+08,3.428986908507860499e+05,1.030295525851821178e+06,3.971311717291456489e+02,1.322942768819835692e+03,6.162651885511753790e+04,1.677296976469143146e+03,4.175602605362071200e+16,3.971311717291494006e+02
3.774774774774774400e+16,2.565338722222284673e+02,1.508184580862806737e+08,3.544419101441007806e+05,1.072241479134610854e+06,3.936250153116373554e+02,1.309034528737868186e+03,5.856445128354175540e+04,1.745584005628248406e+03,4.175602605362071200e+16,3.936250153116410502e+02
3.873873873873873600e+16,2.559516230181785374e+02,1.567964209895901084e+08,3.660766730452061165e+05,1.114741713303491240e+06,3.902394878483721072e+02,1.295577726570046707e+03,5.575754000436389470e+04,1.814773391083219849e+03,4.175602605362071200e+16,3.902394878483757452e+02
3.972972972972972800e+16,2.553130190707678082e+02,1.628513436403317750e+08,3.778018690016866312e+05,1.157789091598280007e+06,3.869675088887121888e+02,1.282548226078650032e+03,5.317823829987042700e+04,1.884853514355692141e+03,4.175602605362071200e+16,3.869675088887157131e+02
4.072072072072072000e+16,2.546252495613744884e+02,1.689822600088134706e+08,3.896164285975871026e+05,1.201376746045925189e+06,3.838025771399132964e+02,1.269923767187450494e+03,5.080260528501139925e+04,1.955813194546452451e+03,4.175602605362071200e+16,3.838025771399168207e+02
4.171171171171171200e+16,2.538947125154848266e+02,1.751882395568617582e+08,4.015193210521559231e+05,1.245498060999772511e+06,3.807387103550468055e+02,1.257683775195848511e+03,4.860975690141144150e+04,2.027641661537752043e+03,4.175602605362071200e+16,3.807387103550502729e+02
4.270270270270270400e+16,2.531271049527147738e+02,1.814683851162867844e+08,4.135095519271359080e+05,1.290146658056547632e+06,3.777703927204985916e+02,1.245809193615319600e+03,4.658141152986961970e+04,2.100328531438505252e+03,4.175602605362071200e+16,3.777703927205020022e+02
4.369369369369369600e+16,2.523275022769628606e+02,1.878218309407643974e+08,4.255861610207076301e+05,1.335316382206242532e+06,3.748925286573282847e+02,1.234282337218454131e+03,4.470151211530969158e+04,2.173863784036625930e+03,4.175602605362071200e+16,3.748925286573316384e+02
4.468468468468468800e+16,2.515004282204413357e+02,1.942477409133242667e+08,4.377482204290351365e+05,1.381001289088274352e+06,3.721004021287103001e+02,1.223086762449015168e+03,4.295591048989591945e+04,2.248237742052363956e+03,4.175602605362071200e+16,3.721004021287135970e+02
4.567567567567568000e+16,2.506499164995227034e+02,2.007453068938166201e+08,4.499948327584672370e+05,1.427195633242835058e+06,3.693896406911961776e+02,1.212207152797922390e+03,4.133210251249738212e+04,2.323441052011766715e+03,4.175602605362071200e+16,3.693896406911994177e+02
4.666666666666666400e+16,2.497795652002259033e+02,2.073137471926119626e+08,4.623251294738460565e+05,1.473893857259676326e+06,3.667561836471169272e+02,1.201629217125266223e+03,3.981900492469041637e+04,2.399464666581156962e+03,4.175602605362071200e+16,3.667561836471201104e+02
4.765765765765765600e+16,2.488925847861991087e+02,2.139523051583971381e+08,4.747382693696736824e+05,1.521090581738070818e+06,3.641962537541519396e+02,1.191339599218141984e+03,3.840676660986799834e+04,2.476299828222189717e+03,4.175602605362071200e+16,3.641962537541550660e+02
4.864864864864864800e+16,2.479918405113038489e+02,2.206602478693315685e+08,4.872334371527534677e+05,1.568780595981604420e+06,3.617063320299239422e+02,1.181325797130954697e+03,3.708660834827411600e+04,2.553938054043189823e+03,4.175602605362071200e+16,3.617063320299270686e+02
4.963963963963964000e+16,2.470798899212072115e+02,2.274368649180341959e+08,4.998098421259975876e+05,1.616958849360066000e+06,3.592831352576037602e+02,1.171576091068626511e+03,3.585068627387593733e+04,2.632371121736505756e+03,4.175602605362071200e+16,3.592831352576068298e+02
5.063063063063063200e+16,2.461590160425292595e+02,2.342814672819274962e+08,5.124667169642149820e+05,1.665620443278169958e+06,3.569235958554459103e+02,1.162079478751926899e+03,3.469197512451319199e+04,2.711591056503792061e+03,4.175602605362071200e+16,3.569235958554489230e+02
5.162162162162162400e+16,2.452312567828295755e+02,2.411933862713782489e+08,5.252033165739580290e+05,1.714760623697381699e+06,3.546248438209454434e+02,1.152825617354102633e+03,3.360416808474760182e+04,2.791590118881691524e+03,4.175602605362071200e+16,3.546248438209484561e+02
5.261261261261261600e+16,2.442984309988920302e+02,2.481719725488784313e+08,5.380189170299175894e+05,1.764374774162802845e+06,3.523841905005281205e+02,1.143804771224316937e+03,3.258159058959332833e+04,2.872360793389798346e+03,4.175602605362071200e+16,3.523841905005310764e+02
5.360360360360360000e+16,2.433621616332678173e+02,2.552165952132172287e+08,5.509128145814804593e+05,1.814458409292095341e+06,3.501991139696684741e+02,1.135007764720169689e+03,3.161912591626701396e+04,2.953895777930755685e+03,4.175602605362071200e+16,3.501991139696714299e+02
5.459459459459459200e+16,2.424238962688724826e+02,2.623266409432049096e+08,5.638843247236924944e+05,1.865007168687813915e+06,3.480672458371459470e+02,1.126425939562072244e+03,3.071215076306166884e+04,3.036187973879687434e+03,4.175602605362071200e+16,3.480672458371488460e+02
5.558558558558558400e+16,2.414849254076944760e+02,2.695015131960638762e+08,5.769327813270613551e+05,1.916016811238371301e+06,3.459863593116529614e+02,1.118051116199298804e+03,2.985647931721279383e+04,3.119230476806296792e+03,4.175602605362071200e+16,3.459863593116558036e+02
5.657657657657657600e+16,2.405463987419773275e+02,2.767406314560793042e+08,5.900575358218542533e+05,1.967483209776331903e+06,3.439543583898755514e+02,1.109875558743220154e+03,2.904831456727081968e+04,3.203016567778695844e+03,4.175602605362071200e+16,3.439543583898783936e+02
5.756756756756756800e+16,2.396093396495779757e+02,2.840434305295270085e+08,6.032579564322967781e+05,2.019402346065716119e+06,3.419692680430567293e+02,1.101891943079515386e+03,2.828420576830627033e+04,3.287539705202859295e+03,4.175602605362071200e+16,3.419692680430595146e+02
5.855855855855856000e+16,2.386746581282823740e+02,2.914093598822785616e+08,6.165334274568561232e+05,2.071770306092712330e+06,3.400292252944050801e+02,1.094093327819404067e+03,2.756101131088049078e+04,3.372793517156002963e+03,4.175602605362071200e+16,3.400292252944078655e+02
5.954954954954955200e+16,2.377431623345517266e+02,2.988378830168192983e+08,6.298833485912268516e+05,2.124583275636591949e+06,3.381324710929229127e+02,1.086473127791542993e+03,2.687586603179917074e+04,3.458771794176149342e+03,4.175602605362071200e+16,3.381324710929256412e+02
6.054054054054054400e+16,2.368155689002446422e+02,3.063284768857113719e+08,6.433071342906898353e+05,2.177837536099741701e+06,3.362773429006246602e+02,1.079025089812081205e+03,2.622615255792422977e+04,3.545468482473510448e+03,4.175602605362071200e+16,3.362773429006273886e+02
6.153153153153153600e+16,2.358925121575887260e+02,3.138806313388089538e+08,6.568042131689777598e+05,2.231529460577644408e+06,3.344622679199800928e+02,1.071743270501415509e+03,2.560947601858148846e+04,3.632877677532510916e+03,4.175602605362071200e+16,3.344622679199827644e+02
6.252252252252252000e+16,2.349745523979435120e+02,3.214938486017668843e+08,6.703740274309682427e+05,2.285655510151345283e+06,3.326857568969618342e+02,1.064622015943118640e+03,2.502364171715638076e+04,3.720993618076005532e+03,4.175602605362071200e+16,3.326857568969644490e+02
6.351351351351351200e+16,2.340621832718112501e+02,3.291676427836011052e+08,6.840160323368292302e+05,2.340212230386459734e+06,3.309463984425188983e+02,1.057655943003934681e+03,2.446663536885385474e+04,3.809810680365753797e+03,4.175602605362071200e+16,3.309463984425215131e+02
6.450450450450450400e+16,2.331558384251759151e+02,3.369015394112535715e+08,6.977296956954641500e+05,2.395196248024168890e+06,3.292428538217633331e+02,1.050839922154133319e+03,2.393660557382583647e+04,3.899323372815434141e+03,4.175602605362071200e+16,3.292428538217658911e+02
6.549549549549549600e+16,2.322558974560520255e+02,3.446950749892849326e+08,7.115144973850504030e+05,2.450604267850866541e+06,3.275738521658219611e+02,1.044169061645355896e+03,2.343184824196265254e+04,3.989526330894502280e+03,4.175602605362071200e+16,3.275738521658245190e+02
6.648648648648648800e+16,2.313626912653110708e+02,3.525477965829805136e+08,7.253699288990406785e+05,2.506433069734252058e+06,3.259381860662507506e+02,1.037638692918694687e+03,2.295079272540111560e+04,4.080414312303016231e+03,4.175602605362071200e+16,3.259381860662533086e+02
6.747747747747748000e+16,2.304765068672567168e+02,3.604592614232892990e+08,7.392954929157228908e+05,2.562679505814649165e+06,3.243347075162466240e+02,1.031244357129435912e+03,2.249198944852141358e+04,4.171982192399182168e+03,4.175602605362071200e+16,3.243347075162491251e+02
6.846846846846847200e+16,2.295975917178817269e+02,3.684290365321488976e+08,7.532907028899245197e+05,2.619340497841269709e+06,3.227623241667156435e+02,1.024981792686947529e+03,2.205409885380411652e+04,4.264224959862835931e+03,4.175602605362071200e+16,3.227623241667181446e+02
6.945945945945945600e+16,2.287261576121103701e+02,3.764566983668650985e+08,7.673550826653613476e+05,2.676413034643921535e+06,3.212199958686038030e+02,1.018846923718792709e+03,2.163588150626714196e+04,4.357137712579457911e+03,4.175602605362071200e+16,3.212199958686063042e+02
7.045045045045044800e+16,2.278623841955200646e+02,3.845418324823142290e+08,7.814881661062969361e+05,2.733894169731453992e+06,3.197067314758684802e+02,1.012835849377511408e+03,2.123618922002131148e+04,4.450715653730489066e+03,4.175602605362071200e+16,3.197067314758709244e+02
7.144144144144144000e+16,2.270064221309073389e+02,3.926840332098400593e+08,7.956894967473116703e+05,2.791781019008872099e+06,3.182215858860843696e+02,1.006944833916794778e+03,2.085395708823706082e+04,4.544954088076852713e+03,4.175602605362071200e+16,3.182215858860868138e+02
7.243243243243243200e+16,2.261583959555620709e+02,4.008829033517962098e+08,8.099586274599881144e+05,2.850070758605695795e+06,3.167636572979948824e+02,1.001170297471104163e+03,2.048819631309627584e+04,4.639848418423568546e+03,4.175602605362071200e+16,3.167636572979972698e+02
7.342342342342342400e+16,2.253184066611368621e+02,4.091380538907691240e+08,8.242951201357062673e+05,2.908760622808679473e+06,3.153320846673814799e+02,9.955088074793043234e+02,2.013798774539031001e+04,4.735394142254272083e+03,4.175602605362071200e+16,3.153320846673838673e+02
7.441441441441441600e+16,2.244865340244951994e+02,4.174491037125852704e+08,8.386985453830849146e+05,2.967847902092542034e+06,3.139260453444474024e+02,9.899570706986514779e+02,1.980247605473983276e+04,4.831586848525293135e+03,4.175602605362071200e+16,3.139260453444497898e+02
7.540540540540540800e+16,2.236628387148246304e+02,4.258156793422753811e+08,8.531684822397859534e+05,3.027329941242804751e+06,3.125447528775399633e+02,9.845119257606384053e+02,1.948086446114192222e+04,4.928422214609669027e+03,4.175602605362071200e+16,3.125447528775422938e+02
7.639639639639640000e+16,2.228473641995653054e+02,4.342374146922243237e+08,8.677045178973458242e+05,3.087204137565270998e+06,3.111874549694854863e+02,9.791703362247940277e+02,1.917240996700077085e+04,5.025896003382227718e+03,4.175602605362071200e+16,3.111874549694877601e+02
7.738738738738739200e+16,2.220401384692833915e+02,4.427139508217966557e+08,8.823062474386318354e+05,3.147467939177080989e+06,3.098534315741068781e+02,9.739293840906308333e+02,1.887641903609133442e+04,5.124004060437463522e+03,4.175602605362071200e+16,3.098534315741092087e+02
7.837837837837836800e+16,2.212411755994718590e+02,4.512449357077689767e+08,8.969732735868683085e+05,3.208118843374609016e+06,3.085419931216492841e+02,9.687862637316127348e+02,1.859224367226770482e+04,5.222742311432514725e+03,4.175602605362071200e+16,3.085419931216515579e+02
7.936936936936937600e+16,2.204504771653625426e+02,4.598300240249577761e+08,9.117052064658767777e+05,3.269154395073842723e+06,3.072524788628763872e+02,9.637382762183027580e+02,1.831927785624840908e+04,5.322106759548124501e+03,4.175602605362071200e+16,3.072524788628786609e+02
8.036036036036035200e+16,2.196680335241428281e+02,4.684688769364634752e+08,9.265016633706514258e+05,3.330572185319117736e+06,3.059842553225319648e+02,9.587828240008074090e+02,1.805695430362114348e+04,5.422093483060922154e+03,4.175602605362071200e+16,3.059842553225341817e+02
8.135135135135136000e+16,2.188938249774739688e+02,4.771611618929981589e+08,9.413622685479542706e+05,3.392369849856454413e+06,3.047367148536918080e+02,9.539174059232740319e+02,1.780474151142919800e+04,5.522698633020812849e+03,4.175602605362071200e+16,3.047367148536940249e+02
8.234234234234233600e+16,2.181278228258732099e+02,4.859065524407960176e+08,9.562866529860291630e+05,3.454545067767885514e+06,3.035092742852869492e+02,9.491396125456044501e+02,1.756214106436722068e+04,5.623918431027732368e+03,4.175602605362071200e+16,3.035092742852891661e+02
