n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility,Alloy Disorder Barrier Penetration,Alloy Disorder Only Channel
1.000000000000000000e+16,9.678723281526788469e+01,2.056448936893773451e+07,7.185169214507701690e+04,1.462029169266754761e+05,6.128860060309334585e+02,2.115065017844427530e+03,1.221448670310508925e+06,1.218636407048162198e+02,5.417987565946578906e+13,6.128860060378664230e+02
1.099099099099099200e+16,1.073799944367156769e+02,2.369589997648865357e+07,8.019602019770668994e+04,1.684656318769726786e+05,5.938828098234389472e+02,2.049543275249576709e+03,9.601944056257476332e+05,1.404201480088216840e+02,5.417987565946578906e+13,5.938828098299486555e+02
1.198198198198198200e+16,1.175142674287462228e+02,2.697186165457976609e+07,8.870451149290395551e+04,1.917560304122448433e+05,5.770367651310816655e+02,1.990949071356314562e+03,7.725288833130741259e+05,1.598332542493616302e+02,5.417987565946578906e+13,5.770367651372273485e+02
1.297297297297297200e+16,1.271374665054502771e+02,3.038625653930388764e+07,9.737055139149163733e+04,2.160306176743145916e+05,5.619528362405359303e+02,1.938037421305730049e+03,6.337507837013900280e+05,1.800667054180971434e+02,5.417987565946578906e+13,5.619528362463644271e+02
1.396396396396396400e+16,1.362162113233370633e+02,3.393368384046562761e+07,1.061882938604002993e+05,2.412509968293921556e+05,5.483318408340247743e+02,1.889864665180516795e+03,5.285771251256418182e+05,2.010884968323888700e+02,5.417987565946578906e+13,5.483318408395741699e+02
1.495495495495495600e+16,1.447329221506059298e+02,3.760932977153129131e+07,1.151525224764469313e+05,2.673829443370790104e+05,5.359422586304779088e+02,1.845699803455259143e+03,4.471813900849661441e+05,2.228701023498152267e+02,5.417987565946578906e+13,5.359422586357793534e+02
1.594594594594594600e+16,1.526827363178763335e+02,4.140886830526582897e+07,1.242585443225350464e+05,2.943957043741151574e+05,5.246015982805635076e+02,1.804965922939827578e+03,3.830346696234364063e+05,2.453858862534272589e+02,5.417987565946578906e+13,5.246015982856430355e+02
1.693693693693693600e+16,1.600707834265736267e+02,4.532838395062182844e+07,1.335021073896648595e+05,3.222614398178728297e+05,5.141637034796007129e+02,1.767200308877132329e+03,3.316744109496632009e+05,2.686126456333146848e+02,5.417987565946578906e+13,5.141637034844801519e+02
1.792792792792792800e+16,1.669098315104141648e+02,4.936431063869261742e+07,1.428793351799569209e+05,3.509547977569931536e+05,5.045098766510431005e+02,1.732026561732967821e+03,2.899741347384375986e+05,2.925292482292897489e+02,5.417987565946578906e+13,5.045098766557409249e+02
1.891891891891892000e+16,1.732182954560022665e+02,5.351338263753310591e+07,1.523866741582534451e+05,3.804525605210683425e+05,4.955425294054698497e+02,1.699134656061939495e+03,2.556952790474980720e+05,3.171163415557517737e+02,5.417987565946578906e+13,4.955425294100022029e+02
1.990990990990991200e+16,1.790185841980129453e+02,5.777259461216178536e+07,1.620208509754292318e+05,4.107333617278480669e+05,4.871805487904355232e+02,1.668266390290980098e+03,2.272038316737274872e+05,3.423561162202180981e+02,5.417987565946578906e+13,4.871805487948162181e+02
2.090090090090090000e+16,1.843357541380213149e+02,6.213916874868001044e+07,1.717788372422865068e+05,4.417774525526777725e+05,4.793558552354529070e+02,1.639204579502701108e+03,2.032863551581221400e+05,3.682321111032891281e+02,5.417987565946578906e+13,4.793558552396939376e+02
2.189189189189189200e+16,1.891964318532517382e+02,6.661052741265011579e+07,1.816578202207894938e+05,4.735665073436626117e+05,4.720108049525019851e+02,1.611764899838303563e+03,1.830276925298638816e+05,3.947290513342230156e+02,5.417987565946578906e+13,4.720108049566140949e+02
2.288288288288288400e+16,1.936279682589462254e+02,7.118427019839245081e+07,1.916551782116974937e+05,5.060834604540042928e+05,4.650962015668220033e+02,1.585789645471721542e+03,1.657279367909253342e+05,4.218327122867702883e+02,5.417987565946578906e+13,4.650962015708145145e+02
2.387387387387387200e+16,1.976577878528827625e+02,7.585815450199840963e+07,2.017684597122976556e+05,5.393123681261372985e+05,4.585697544318507539e+02,1.561142887619140993e+03,1.508449722713156370e+05,4.495298044562870245e+02,5.417987565946578906e+13,4.585697544357320226e+02
2.486486486486486400e+16,2.013128995866342734e+02,8.063007895145885646e+07,2.119953656320244772e+05,5.732382906884867698e+05,4.523948692724424063e+02,1.537706676508011924e+03,1.379540182582612615e+05,4.778078752679044783e+02,5.417987565946578906e+13,4.523948692762198789e+02
2.585585585585585600e+16,2.046195395795682543e+02,8.549806917526946962e+07,2.223337340116424020e+05,6.078471913775883149e+05,4.465396893850459605e+02,1.515378029607092230e+03,1.267186913037754857e+05,5.066552247423377935e+02,5.417987565946578906e+13,4.465396893887262877e+02
2.684684684684684800e+16,2.076029198246562260e+02,9.046026550151291490e+07,2.327815268099444802e+05,6.431258488849058049e+05,4.409763280511918992e+02,1.494066519863221401e+03,1.168700059841204493e+05,5.360608326015582179e+02,5.417987565946578906e+13,4.409763280547810496e+02
2.783783783783784000e+16,2.102870609032412119e+02,9.551491226319979131e+07,2.433368184111340961e+05,6.790617813233180204e+05,4.356802485097139765e+02,1.473692326955630506e+03,1.081909332070529344e+05,5.660142948930358671e+02,5.417987565946578906e+13,4.356802485132174070e+02
2.882882882882882800e+16,2.126946903306281627e+02,1.006603484498237222e+08,2.539977855749130249e+05,7.156431797644963954e+05,4.306297589724761110e+02,1.454184649548704556e+03,1.005049057921475469e+05,5.965057685915481898e+02,5.417987565946578906e+13,4.306297589758988238e+02
2.981981981981982000e+16,2.148471913903889003e+02,1.058949994947677404e+08,2.647626986041408381e+05,7.528588498515976826e+05,4.258055981861082273e+02,1.435480401688985012e+03,9.366716519908524060e+04,6.275259229319574388e+02,5.417987565946578906e+13,4.258055981894547131e+02
3.081081081081081200e+16,2.167645901410897977e+02,1.112173700270362198e+08,2.756299135465204599e+05,7.906981602678146446e+05,4.211905928863056374e+02,1.417523134831186553e+03,8.755817860486423888e+04,6.590658964565110409e+02,5.417987565946578906e+13,4.211905928895799889e+02
3.180180180180180000e+16,2.184655706945408156e+02,1.166260374464232922e+08,2.865978652795269736e+05,8.291509970591380261e+05,4.167693728008727021e+02,1.400262140499673933e+03,8.207858201066017500e+04,6.911172589417681138e+02,5.417987565946578906e+13,4.167693728040786709e+02
