n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility,Alloy Disorder Barrier Penetration,Alloy Disorder Only Channel
1.000000000000000000e+16,1.896434713646963255e+00,2.056448936893773451e+07,7.185169214507701690e+04,1.462029169266754761e+05,6.121139512218478558e+02,2.115065017844427530e+03,1.221448670310508925e+06,1.904119386012753434e+00,4.859189619968608022e+05,6.128860060378664230e+02
1.099099099099099200e+16,2.183557033553357396e+00,2.369589997648865357e+07,8.019602019770668994e+04,1.684656318769726786e+05,5.931578612585462906e+02,2.049543275249576709e+03,9.601944056257476332e+05,2.194064812637838813e+00,4.859189619968608022e+05,5.938828098299486555e+02
1.198198198198198200e+16,2.483408090136343116e+00,2.697186165457976609e+07,8.870451149290395551e+04,1.917560304122448433e+05,5.763523372505287625e+02,1.990949071356314562e+03,7.725288833130741259e+05,2.497394597646275471e+00,4.859189619968608022e+05,5.770367651372273485e+02
1.297297297297297200e+16,2.795342599925460636e+00,3.038625653930388764e+07,9.737055139149163733e+04,2.160306176743145916e+05,5.613037028877132570e+02,1.938037421305730049e+03,6.337507837013900280e+05,2.813542272157767865e+00,4.859189619968608022e+05,5.619528362463644271e+02
1.396396396396396400e+16,3.118779734712858520e+00,3.393368384046562761e+07,1.061882938604002993e+05,2.412509968293921556e+05,5.477137770735466802e+02,1.889864665180516795e+03,5.285771251256418182e+05,3.142007763006076093e+00,4.859189619968608022e+05,5.483318408395741699e+02
1.495495495495495600e+16,3.453191234037951141e+00,3.760932977153129131e+07,1.151525224764469313e+05,2.673829443370790104e+05,5.353517946439912976e+02,1.845699803455259143e+03,4.471813900849661441e+05,3.482345349215862917e+00,4.859189619968608022e+05,5.359422586357793534e+02
1.594594594594594600e+16,3.798092359812256902e+00,4.140886830526582897e+07,1.242585443225350464e+05,2.943957043741151574e+05,5.240358454264832062e+02,1.804965922939827578e+03,3.830346696234364063e+05,3.834154472709800920e+00,4.859189619968608022e+05,5.246015982856430355e+02
1.693693693693693600e+16,4.153034880179585997e+00,4.532838395062182844e+07,1.335021073896648595e+05,3.222614398178728297e+05,5.136202283385384817e+02,1.767200308877132329e+03,3.316744109496632009e+05,4.197072588020541950e+00,4.859189619968608022e+05,5.141637034844801519e+02
1.792792792792792800e+16,4.517601536933824491e+00,4.936431063869261742e+07,1.428793351799569209e+05,3.509547977569931536e+05,5.039866078778942438e+02,1.732026561732967821e+03,2.899741347384375986e+05,4.570769503582652327e+00,4.859189619968608022e+05,5.045098766557409249e+02
1.891891891891892000e+16,4.891401620032859832e+00,5.351338263753310591e+07,1.523866741582534451e+05,3.804525605210683425e+05,4.950376875597509638e+02,1.699134656061939495e+03,2.556952790474980720e+05,4.954942836808621465e+00,4.859189619968608022e+05,4.955425294100022029e+02
