n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility,Alloy Disorder Barrier Penetration,Alloy Disorder Only Channel
1.000000000000000000e+16,1.475509536733366112e+01,2.056448936893773451e+07,7.185169214507701690e+04,1.462029169266754761e+05,6.128839113523035849e+02,2.115065017844427530e+03,1.221448670310508925e+06,1.523295508810202747e+01,1.793242762784892321e+08,6.128860060378664230e+02
1.099099099099099200e+16,1.690242068793595465e+01,2.369589997648865357e+07,8.019602019770668994e+04,1.684656318769726786e+05,5.938808430263954961e+02,2.049543275249576709e+03,9.601944056257476332e+05,1.755251850110271050e+01,1.793242762784892321e+08,5.938828098299486555e+02
1.198198198198198200e+16,1.911853873764663803e+01,2.697186165457976609e+07,8.870451149290395551e+04,1.917560304122448433e+05,5.770349083314240488e+02,1.990949071356314562e+03,7.725288833130741259e+05,1.997915678117020377e+01,1.793242762784892321e+08,5.770367651372273485e+02
1.297297297297297200e+16,2.139495529455451006e+01,3.038625653930388764e+07,9.737055139149163733e+04,2.160306176743145916e+05,5.619510752466430858e+02,1.938037421305730049e+03,6.337507837013900280e+05,2.250833817726214292e+01,1.793242762784892321e+08,5.619528362463644271e+02
1.396396396396396400e+16,2.372376812317486383e+01,3.393368384046562761e+07,1.061882938604002993e+05,2.412509968293921556e+05,5.483301641737342607e+02,1.889864665180516795e+03,5.285771251256418182e+05,2.513606210404860875e+01,1.793242762784892321e+08,5.483318408395741699e+02
1.495495495495495600e+16,2.609759055971034769e+01,3.760932977153129131e+07,1.151525224764469313e+05,2.673829443370790104e+05,5.359406568825081649e+02,1.845699803455259143e+03,4.471813900849661441e+05,2.785876279372690334e+01,1.793242762784892321e+08,5.359422586357793534e+02
1.594594594594594600e+16,2.850949573034815643e+01,4.140886830526582897e+07,1.242585443225350464e+05,2.943957043741151574e+05,5.246000636020099819e+02,1.804965922939827578e+03,3.830346696234364063e+05,3.067323578167840736e+01,1.793242762784892321e+08,5.246015982856430355e+02
1.693693693693693600e+16,3.095297499622536819e+01,4.532838395062182844e+07,1.335021073896648595e+05,3.222614398178728297e+05,5.141622292638030558e+02,1.767200308877132329e+03,3.316744109496632009e+05,3.357658070416433560e+01,1.793242762784892321e+08,5.141637034844801519e+02
1.792792792792792800e+16,3.342190634411694816e+01,4.936431063869261742e+07,1.428793351799569209e+05,3.509547977569931536e+05,5.045084572745794276e+02,1.732026561732967821e+03,2.899741347384375986e+05,3.656615602866121861e+01,1.793242762784892321e+08,5.045098766557409249e+02
1.891891891891892000e+16,3.591052979075284668e+01,5.351338263753310591e+07,1.523866741582534451e+05,3.804525605210683425e+05,4.955411600375726948e+02,1.699134656061939495e+03,2.556952790474980720e+05,3.963954269446897172e+01,1.793242762784892321e+08,4.955425294100022029e+02
1.990990990990991200e+16,3.841342775218380723e+01,5.777259461216178536e+07,1.620208509754292318e+05,4.107333617278480669e+05,4.871792252470665971e+02,1.668266390290980098e+03,2.272038316737274872e+05,4.279451452752726226e+01,1.793242762784892321e+08,4.871805487948162181e+02
2.090090090090090000e+16,4.092550892453879641e+01,6.213916874868001044e+07,1.717788372422865068e+05,4.417774525526777725e+05,4.793545738659364019e+02,1.639204579502701108e+03,2.032863551581221400e+05,4.602901388791114101e+01,1.793242762784892321e+08,4.793558552396939376e+02
2.189189189189189200e+16,4.344199463292023466e+01,6.661052741265011579e+07,1.816578202207894938e+05,4.735665073436626117e+05,4.720095625502975167e+02,1.611764899838303563e+03,1.830276925298638816e+05,4.934113141677787695e+01,1.793242762784892321e+08,4.720108049566140949e+02
2.288288288288288400e+16,4.595840689433058657e+01,7.118427019839245081e+07,1.916551782116974937e+05,5.060834604540042928e+05,4.650949952984671540e+02,1.585789645471721542e+03,1.657279367909253342e+05,5.272908903584628604e+01,1.793242762784892321e+08,4.650962015708145145e+02
2.387387387387387200e+16,4.847055764798360400e+01,7.585815450199840963e+07,2.017684597122976556e+05,5.393123681261372985e+05,4.585685817797686923e+02,1.561142887619140993e+03,1.508449722713156370e+05,5.619122555703587807e+01,1.793242762784892321e+08,4.585697544357320226e+02
2.486486486486486400e+16,5.097453875750878183e+01,8.063007895145885646e+07,2.119953656320244772e+05,5.732382906884867698e+05,4.523937279884606824e+02,1.537706676508011924e+03,1.379540182582612615e+05,5.972598440848805978e+01,1.793242762784892321e+08,4.523948692762198789e+02
2.585585585585585600e+16,5.346671250108379780e+01,8.549806917526946962e+07,2.223337340116424020e+05,6.078471913775883149e+05,4.465385774522845281e+02,1.515378029607092230e+03,1.267186913037754857e+05,6.333190309279222419e+01,1.793242762784892321e+08,4.465396893887262877e+02
2.684684684684684800e+16,5.594370234861939650e+01,9.046026550151291490e+07,2.327815268099444802e+05,6.431258488849058049e+05,4.409752436525587314e+02,1.494066519863221401e+03,1.168700059841204493e+05,6.700760407519477724e+01,1.793242762784892321e+08,4.409763280547810496e+02
2.783783783783784000e+16,5.840238388744040776e+01,9.551491226319979131e+07,2.433368184111340961e+05,6.790617813233180204e+05,4.356791900016666546e+02,1.473692326955630506e+03,1.081909332070529344e+05,7.075178686162948338e+01,1.793242762784892321e+08,4.356802485132174070e+02
2.882882882882882800e+16,6.083987580481167612e+01,1.006603484498237222e+08,2.539977855749130249e+05,7.156431797644963954e+05,4.306287248630176805e+02,1.454184649548704556e+03,1.005049057921475469e+05,7.456322107394352372e+01,1.793242762784892321e+08,4.306297589758988238e+02
2.981981981981982000e+16,6.325353087096019777e+01,1.058949994947677404e+08,2.647626986041408381e+05,7.528588498515976826e+05,4.258045871162152025e+02,1.435480401688985012e+03,9.366716519908524060e+04,7.844074036649467985e+01,1.793242762784892321e+08,4.258055981894547131e+02
