x	Ec	Ev	Ef	n	p
0.000000	2.500000	-3.223500	0.000000	1.582836e-008	1.660711e-035
2.000000	2.453858	-3.269642	0.000000	1.224618e-009	2.815517e-036
4.000000	2.408223	-3.315277	0.000000	5.338156e-008	4.867312e-037
6.000000	2.363095	-3.360405	0.000000	8.210453e-008	8.579996e-038
8.000000	2.318474	-3.405026	0.000000	2.036390e-008	1.542240e-038
10.000000	2.274360	-3.449140	0.000000	1.728567e-008	2.826726e-039
12.000000	2.230752	-3.492748	0.000000	1.227294e-007	5.283021e-040
14.000000	2.187652	-3.535848	0.000000	1.179443e-007	1.006811e-040
16.000000	2.145058	-3.578442	0.000000	9.304880e-009	1.956503e-041
18.000000	2.102972	-3.620528	0.000000	5.139236e-008	3.876858e-042
20.000000	2.061392	-3.662108	0.000000	1.593259e-007	7.833326e-043
22.000000	2.020319	-3.703181	0.000000	9.658685e-008	1.613910e-043
24.000000	1.979753	-3.743747	0.000000	2.948405e-009	3.390624e-044
26.000000	1.939694	-3.783806	0.000000	7.199393e-008	7.263512e-045
28.000000	1.900142	-3.823358	0.000000	1.504775e-007	1.586648e-045
30.000000	1.861096	-3.862404	0.000000	1.549499e-007	3.534122e-046
32.000000	1.822558	-3.900942	0.000000	3.450401e-007	8.026928e-047
34.000000	1.784526	-3.938974	0.000000	1.196918e-006	1.859020e-047
36.000000	1.747002	-3.976498	0.000000	3.806788e-006	4.390214e-048
38.000000	1.709984	-4.013516	0.000000	1.190351e-005	1.057193e-048
40.000000	1.673473	-4.050027	0.000000	3.706862e-005	2.595911e-049
42.000000	1.637469	-4.086031	0.000000	1.133839e-004	6.499682e-050
44.000000	1.601972	-4.121528	0.000000	3.396280e-004	1.659439e-050
46.000000	1.566982	-4.156518	0.000000	9.969101e-004	4.320138e-051
48.000000	1.532498	-4.191002	0.000000	2.868494e-003	1.146835e-051
50.000000	1.498522	-4.224978	0.000000	8.091573e-003	3.104351e-052
52.000000	1.465052	-4.258448	0.000000	2.238161e-002	8.568558e-053
54.000000	1.432090	-4.291410	0.000000	6.072265e-002	2.411635e-053
56.000000	1.399634	-4.323866	0.000000	1.616365e-001	6.921216e-054
58.000000	1.367685	-4.355815	0.000000	4.222754e-001	2.025443e-054
60.000000	1.336243	-4.387257	0.000000	1.083095e+000	6.044003e-055
62.000000	1.305308	-4.418192	0.000000	2.728379e+000	1.839061e-055
64.000000	1.274880	-4.448620	0.000000	6.752542e+000	5.706038e-056
66.000000	1.244958	-4.478542	0.000000	1.642526e+001	1.805261e-056
68.000000	1.215544	-4.507956	0.000000	3.928215e+001	5.823878e-057
70.000000	1.186637	-4.536863	0.000000	9.239895e+001	1.915806e-057
72.000000	1.158236	-4.565264	0.000000	2.138304e+002	6.426249e-058
74.000000	1.130342	-4.593158	0.000000	4.870047e+002	2.198015e-058
76.000000	1.102955	-4.620545	0.000000	1.091880e+003	7.666029e-059
78.000000	1.076075	-4.647425	0.000000	2.410434e+003	2.726323e-059
80.000000	1.049702	-4.673798	0.000000	5.240582e+003	9.886693e-060
82.000000	1.023836	-4.699664	0.000000	1.122264e+004	3.655878e-060
84.000000	0.998477	-4.725023	0.000000	2.367524e+004	1.378476e-060
86.000000	0.973624	-4.749876	0.000000	4.920559e+004	5.299975e-061
88.000000	0.949279	-4.774221	0.000000	1.007582e+005	2.077855e-061
90.000000	0.925440	-4.798060	0.000000	2.032855e+005	8.306604e-062
92.000000	0.902108	-4.821392	0.000000	4.041099e+005	3.386092e-062
94.000000	0.879284	-4.844216	0.000000	7.915169e+005	1.407476e-062
96.000000	0.856966	-4.866534	0.000000	1.527516e+006	5.965543e-063
98.000000	0.835155	-4.888345	0.000000	2.904497e+006	2.578255e-063
100.000000	0.813850	-4.909650	0.000000	5.441394e+006	1.136237e-063
102.000000	0.793053	-4.930447	0.000000	1.004379e+007	5.105975e-064
104.000000	0.772763	-4.950737	0.000000	1.826536e+007	2.339674e-064
106.000000	0.752979	-4.970521	0.000000	3.272634e+007	1.093198e-064
108.000000	0.733703	-4.989797	0.000000	5.776990e+007	5.208462e-065
110.000000	0.714933	-5.008567	0.000000	1.004704e+008	2.530387e-065
112.000000	0.696670	-5.026830	0.000000	1.721489e+008	1.253520e-065
114.000000	0.678914	-5.044586	0.000000	2.906018e+008	6.332026e-066
116.000000	0.661665	-5.061835	0.000000	4.833020e+008	3.261526e-066
118.000000	0.644923	-5.078577	0.000000	7.918877e+008	1.713034e-066
120.000000	0.628688	-5.094812	0.000000	1.278297e+009	9.174407e-067
122.000000	0.612959	-5.110541	0.000000	2.032927e+009	5.010222e-067
124.000000	0.597738	-5.125762	0.000000	3.185168e+009	2.789991e-067
126.000000	0.583023	-5.140477	0.000000	4.916566e+009	1.584220e-067
128.000000	0.568816	-5.154684	0.000000	7.476686e+009	9.172660e-068
130.000000	0.555115	-5.168385	0.000000	1.120141e+010	5.415541e-068
132.000000	0.541921	-5.181579	0.000000	1.653300e+010	3.260284e-068
134.000000	0.529234	-5.194266	0.000000	2.404054e+010	2.001409e-068
136.000000	0.517054	-5.206446	0.000000	3.443890e+010	1.252804e-068
138.000000	0.505380	-5.218120	0.000000	4.860330e+010	7.996454e-069
140.000000	0.494214	-5.229286	0.000000	6.757595e+010	5.204495e-069
142.000000	0.483555	-5.239945	0.000000	9.256080e+010	3.454035e-069
144.000000	0.473402	-5.250098	0.000000	1.249019e+011	2.337447e-069
146.000000	0.463756	-5.259744	0.000000	1.660411e+011	1.612960e-069
148.000000	0.454617	-5.268883	0.000000	2.174526e+011	1.134939e-069
150.000000	0.445986	-5.277514	0.000000	2.805518e+011	8.143070e-070
152.000000	0.437861	-5.285639	0.000000	3.565798e+011	5.957593e-070
154.000000	0.430242	-5.293258	0.000000	4.464674e+011	4.444474e-070
156.000000	0.423131	-5.300369	0.000000	5.506867e+011	3.380935e-070
158.000000	0.416527	-5.306973	0.000000	6.690994e+011	2.622529e-070
160.000000	0.410429	-5.313071	0.000000	8.008174e+011	2.074295e-070
162.000000	0.404839	-5.318661	0.000000	9.440909e+011	1.672969e-070
164.000000	0.399755	-5.323745	0.000000	1.096239e+012	1.375853e-070
166.000000	0.395178	-5.328322	0.000000	1.253642e+012	1.153780e-070
168.000000	0.391108	-5.332392	0.000000	1.411801e+012	9.865996e-071
170.000000	0.387545	-5.335955	0.000000	1.565478e+012	8.602522e-071
172.000000	0.384489	-5.339011	0.000000	1.708921e+012	7.648523e-071
174.000000	0.381940	-5.341560	0.000000	1.836164e+012	6.934199e-071
176.000000	0.379898	-5.343602	0.000000	1.941412e+012	6.410352e-071
178.000000	0.378362	-5.345138	0.000000	2.019509e+012	6.042747e-071
180.000000	0.377334	-5.346166	0.000000	2.066527e+012	5.808364e-071
182.000000	0.376812	-5.346688	0.000000	2.080584e+012	5.692987e-071
184.000000	0.376797	-5.346703	0.000000	2.063165e+012	5.689753e-071
186.000000	0.377289	-5.346211	0.000000	2.021618e+012	5.798472e-071
188.000000	0.378288	-5.345212	0.000000	1.974394e+012	6.025605e-071
190.000000	0.379794	-5.343706	0.000000	1.962725e+012	6.384908e-071
192.000000	0.381807	-5.341693	0.000000	2.077292e+012	6.898832e-071
194.000000	0.384327	-5.339173	0.000000	2.519958e+012	7.600871e-071
196.000000	0.387353	-5.336147	0.000000	3.747654e+012	8.539217e-071
198.000000	0.390887	-5.332613	0.000000	6.809869e+012	9.782271e-071
200.000000	0.394927	-5.328573	0.000000	1.414487e+013	1.142689e-070
202.000000	0.399474	-5.324026	0.000000	3.146985e+013	1.361080e-070
204.000000	0.404529	-5.318971	0.000000	7.229690e+013	1.653126e-070
206.000000	0.410090	-5.313410	0.000000	1.687952e+014	2.047364e-070
208.000000	0.416157	-5.307343	0.000000	3.980992e+014	2.585537e-070
210.000000	0.792392	-5.487608	0.000000	1.023225e+015	2.520380e-073
210.100000	0.790320	-5.489680	0.000000	1.082640e+015	2.327272e-073
210.200000	0.788247	-5.491753	0.000000	1.145770e+015	2.148960e-073
210.300000	0.786175	-5.493825	0.000000	1.212841e+015	1.984309e-073
210.400000	0.784102	-5.495898	0.000000	1.284091e+015	1.832274e-073
210.500000	0.782030	-5.497970	0.000000	1.359777e+015	1.691888e-073
210.600000	0.779957	-5.500043	0.000000	1.440166e+015	1.562258e-073
210.700000	0.777884	-5.502116	0.000000	1.525545e+015	1.442560e-073
210.800000	0.775812	-5.504188	0.000000	1.616214e+015	1.332033e-073
210.900000	0.773739	-5.506261	0.000000	1.712496e+015	1.229974e-073
211.000000	0.771667	-5.508333	0.000000	1.814729e+015	1.135735e-073
211.100000	0.769594	-5.510406	0.000000	1.923273e+015	1.048717e-073
211.200000	0.767522	-5.512478	0.000000	2.038508e+015	9.683652e-074
211.300000	0.765449	-5.514551	0.000000	2.160838e+015	8.941703e-074
211.400000	0.763377	-5.516623	0.000000	2.290690e+015	8.256601e-074
211.500000	0.761304	-5.518696	0.000000	2.428517e+015	7.623990e-074
211.600000	0.759232	-5.520768	0.000000	2.574796e+015	7.039849e-074
211.700000	0.757159	-5.522841	0.000000	2.730036e+015	6.500465e-074
211.800000	0.755086	-5.524914	0.000000	2.894773e+015	6.002407e-074
211.900000	0.753014	-5.526986	0.000000	3.069576e+015	5.542509e-074
212.000000	0.750941	-5.529059	0.000000	3.255045e+015	5.117848e-074
212.100000	0.748869	-5.531131	0.000000	3.451818e+015	4.725724e-074
212.200000	0.746796	-5.533204	0.000000	3.660569e+015	4.363645e-074
212.300000	0.744724	-5.535276	0.000000	3.882010e+015	4.029307e-074
212.400000	0.742651	-5.537349	0.000000	4.116897e+015	3.720585e-074
212.500000	0.740579	-5.539421	0.000000	4.366027e+015	3.435518e-074
212.600000	0.738506	-5.541494	0.000000	4.630246e+015	3.172292e-074
212.700000	0.736434	-5.543566	0.000000	4.910446e+015	2.929234e-074
212.800000	0.734361	-5.545639	0.000000	5.207574e+015	2.704798e-074
212.900000	0.732288	-5.547712	0.000000	5.522630e+015	2.497559e-074
213.000000	0.730216	-5.549784	0.000000	5.856670e+015	2.306198e-074
213.100000	0.728143	-5.551857	0.000000	6.210814e+015	2.129499e-074
213.200000	0.726071	-5.553929	0.000000	6.586245e+015	1.966338e-074
