x	Ec	Ev	Ef	n	p
0.000000	2.500000	-3.223500	0.000000	1.701987e-011	1.660711e-035
2.000000	2.451179	-3.272321	0.000000	1.468684e-012	2.539874e-036
4.000000	2.402866	-3.320634	0.000000	4.374771e-012	3.960931e-037
6.000000	2.355059	-3.368441	0.000000	1.899206e-011	6.298675e-038
8.000000	2.307759	-3.415741	0.000000	2.009571e-012	1.021335e-038
10.000000	2.260966	-3.462534	0.000000	9.293899e-012	1.688705e-039
12.000000	2.214680	-3.508820	0.000000	3.625355e-011	2.847125e-040
14.000000	2.168900	-3.554600	0.000000	9.328095e-011	4.894701e-041
16.000000	2.123628	-3.599872	0.000000	3.914978e-010	8.580502e-042
18.000000	2.078862	-3.644638	0.000000	1.625508e-009	1.533791e-042
20.000000	2.034604	-3.688896	0.000000	6.377937e-009	2.795674e-043
22.000000	1.990852	-3.732648	0.000000	2.497474e-008	5.196055e-044
24.000000	1.947607	-3.775893	0.000000	9.607898e-008	9.847544e-045
26.000000	1.904869	-3.818631	0.000000	3.618728e-007	1.903045e-045
28.000000	1.862638	-3.860862	0.000000	1.336113e-006	3.750050e-046
30.000000	1.820914	-3.902586	0.000000	4.834516e-006	7.535151e-047
32.000000	1.779697	-3.943803	0.000000	1.714521e-005	1.543881e-047
34.000000	1.738986	-3.984514	0.000000	5.960487e-005	3.225541e-048
36.000000	1.698783	-4.024717	0.000000	2.031640e-004	6.871606e-049
38.000000	1.659086	-4.064414	0.000000	6.790831e-004	1.492729e-049
40.000000	1.619897	-4.103603	0.000000	2.226409e-003	3.306514e-050
42.000000	1.581214	-4.142286	0.000000	7.161368e-003	7.468386e-051
44.000000	1.543038	-4.180462	0.000000	2.260512e-002	1.720086e-051
46.000000	1.505369	-4.218131	0.000000	7.004150e-002	4.039618e-052
48.000000	1.468207	-4.255293	0.000000	2.130912e-001	9.673808e-053
50.000000	1.431552	-4.291948	0.000000	6.367452e-001	2.362226e-053
52.000000	1.395403	-4.328097	0.000000	1.869334e+000	5.881831e-054
54.000000	1.359762	-4.363738	0.000000	5.393382e+000	1.493380e-054
56.000000	1.324627	-4.398873	0.000000	1.529747e+001	3.866297e-055
58.000000	1.289999	-4.433501	0.000000	4.266676e+001	1.020674e-055
60.000000	1.255879	-4.467621	0.000000	1.170560e+002	2.747550e-056
62.000000	1.222265	-4.501235	0.000000	3.159710e+002	7.541733e-057
64.000000	1.189158	-4.534342	0.000000	8.393745e+002	2.110880e-057
66.000000	1.156558	-4.566942	0.000000	2.194904e+003	6.024527e-058
68.000000	1.124464	-4.599036	0.000000	5.650816e+003	1.753272e-058
70.000000	1.092878	-4.630622	0.000000	1.432570e+004	5.202864e-059
72.000000	1.061798	-4.661702	0.000000	3.576773e+004	1.574355e-059
74.000000	1.031226	-4.692274	0.000000	8.796058e+004	4.857688e-060
76.000000	1.001160	-4.722340	0.000000	2.130818e+005	1.528353e-060
78.000000	0.971601	-4.751899	0.000000	5.085076e+005	4.903255e-061
80.000000	0.942550	-4.780950	0.000000	1.195541e+006	1.604029e-061
82.000000	0.914005	-4.809495	0.000000	2.769262e+006	5.350655e-062
84.000000	0.885966	-4.837534	0.000000	6.319859e+006	1.819988e-062
