x	Ec	Ev	Ef	n	p
0.000000	2.500000	-3.223500	0.000000	3.180628e-006	1.660711e-035
5.000000	2.380914	-3.342586	0.000000	1.287199e-006	1.702668e-037
10.000000	2.264996	-3.458504	0.000000	1.669460e-006	1.971848e-039
15.000000	2.152245	-3.571255	0.000000	5.844669e-006	2.579373e-041
20.000000	2.042659	-3.680841	0.000000	1.197146e-007	3.811026e-043
25.000000	1.936240	-3.787260	0.000000	8.283927e-007	6.359840e-045
30.000000	1.832985	-3.890515	0.000000	6.475752e-006	1.198719e-046
35.000000	1.732895	-3.990605	0.000000	1.117847e-004	2.551794e-048
40.000000	1.635968	-4.087532	0.000000	1.253109e-003	6.135099e-050
45.000000	1.542205	-4.181295	0.000000	1.907621e-002	1.665852e-051
50.000000	1.451605	-4.271895	0.000000	2.638851e-001	5.108362e-053
55.000000	1.364167	-4.359333	0.000000	3.318290e+000	1.769088e-054
60.000000	1.279891	-4.443609	0.000000	3.799705e+001	6.918819e-056
65.000000	1.198776	-4.524724	0.000000	3.969693e+002	3.055784e-057
70.000000	1.120822	-4.602678	0.000000	3.790030e+003	1.524106e-058
75.000000	1.046030	-4.677470	0.000000	3.310523e+004	8.584276e-060
80.000000	0.974397	-4.749103	0.000000	2.647118e+005	5.459885e-061
85.000000	0.905925	-4.817575	0.000000	1.937879e+006	3.921483e-062
90.000000	0.840613	-4.882887	0.000000	1.298593e+007	3.180539e-063
95.000000	0.778461	-4.945039	0.000000	7.962587e+007	2.912942e-064
100.000000	0.719468	-5.004032	0.000000	4.465636e+008	3.012601e-065
105.000000	0.663635	-5.059865	0.000000	2.289658e+009	3.518269e-066
110.000000	0.610962	-5.112538	0.000000	1.072838e+010	4.639740e-067
115.000000	0.561448	-5.162052	0.000000	4.592016e+010	6.909327e-068
120.000000	0.515094	-5.208406	0.000000	1.794823e+011	1.161867e-068
125.000000	0.471900	-5.251600	0.000000	6.403964e+011	2.206266e-069
130.000000	0.431866	-5.291634	0.000000	2.085284e+012	4.730885e-070
135.000000	0.394992	-5.328508	0.000000	6.195488e+012	1.145547e-070
140.000000	0.361278	-5.362222	0.000000	1.679245e+013	3.132358e-071
145.000000	0.330725	-5.392775	0.000000	4.151948e+013	9.671973e-072
150.000000	0.303330	-5.420170	0.000000	9.364976e+013	3.372294e-072
155.000000	0.279091	-5.444409	0.000000	1.927368e+014	1.327530e-072
160.000000	0.257999	-5.465501	0.000000	3.621079e+014	5.898295e-073
165.000000	0.240035	-5.483465	0.000000	6.217835e+014	2.955760e-073
170.000000	0.225168	-5.498332	0.000000	9.790760e+014	1.668527e-073
175.000000	0.213348	-5.510152	0.000000	1.429617e+015	1.059019e-073
180.000000	0.204514	-5.518986	0.000000	2.016130e+015	7.539435e-074
185.000000	0.198599	-5.524901	0.000000	3.139924e+015	6.005264e-074
190.000000	0.195546	-5.527954	0.000000	7.020671e+015	5.339948e-074
190.100000	0.195485	-5.528015	0.000000	7.186020e+015	5.327415e-074
190.200000	0.195424	-5.528076	0.000000	7.356633e+015	5.314910e-074
190.300000	0.195363	-5.528137	0.000000	7.532685e+015	5.302435e-074
190.400000	0.195302	-5.528198	0.000000	7.714355e+015	5.289989e-074
190.500000	0.195240	-5.528260	0.000000	7.901829e+015	5.277571e-074
190.600000	0.195179	-5.528321	0.000000	8.095299e+015	5.265183e-074
190.700000	0.195118	-5.528382	0.000000	8.294962e+015	5.252823e-074
190.800000	0.195057	-5.528443	0.000000	8.501023e+015	5.240491e-074
190.900000	0.194996	-5.528504	0.000000	8.713693e+015	5.228189e-074
191.000000	0.194935	-5.528565	0.000000	8.933190e+015	5.215915e-074
191.100000	0.194874	-5.528626	0.000000	9.159739e+015	5.203669e-074
191.200000	0.194813	-5.528687	0.000000	9.393572e+015	5.191452e-074
191.300000	0.194752	-5.528748	0.000000	9.634931e+015	5.179263e-074
191.400000	0.194690	-5.528810	0.000000	9.884062e+015	5.167102e-074
191.500000	0.194629	-5.528871	0.000000	1.014122e+016	5.154969e-074
191.600000	0.194568	-5.528932	0.000000	1.040668e+016	5.142864e-074
191.700000	0.194507	-5.528993	0.000000	1.068070e+016	5.130788e-074
191.800000	0.194446	-5.529054	0.000000	1.096357e+016	5.118739e-074
